Nombre,Direccion,Telefono,Web,Rating
"Vidón – ʙᴀʀ [Nueva Córdoba]","Dr. T. Achaval Rodriguez 152, X5000BKD Córdoba, Argentina","+54 351 279-2796","https://www.instagram.com/vidonbar","4.4"
"𝒱𝒾𝒹𝑜́𝓃 – ʙᴀʀ [Alta Córdoba]","Mariano Fragueiro 2185, X5001 GCI, Córdoba, Argentina","+54 9 351 365-5208","https://instagram.com/vidonbar?igshid=1qmw9gcmgeieq","4.1"
"Santa Calma","Deodoro Roca, X5000 Córdoba, Argentina","+54 351 852-2222","http://www.santacalma.com.ar/","4.7"
"Clarke's Irish Bar","Santiago Derqui 225, X5000GXE Córdoba, Argentina","","https://www.instagram.com/clarkesbarcordoba/","4.6"
"𝗟𝗔 𝗖𝗢𝗩𝗔 𝗗𝗘𝗟 𝗗𝗥𝗔𝗖","Belgrano 892, X5000JQR Córdoba, Argentina","","https://www.facebook.com/La-COVA-DEL-DRAC-377830905601394","4.6"
"𝗣𝗘𝗧𝗔𝗟𝗢𝗦 de SOL","Av. Marcelo T. de Alvear 396, X5000KGS Córdoba, Argentina","+54 9 351 528-7000","https://www.instagram.com/petalosdesol?igsh=ZTB2dXdrajEzdG9u","4.5"
"Dada Store Mini Bar","Dr. T. Achaval Rodriguez 250, X5000 Córdoba, Argentina","+54 351 228-4394","http://dadamini.com.ar/","4.3"
"X-BAR®","M.T. de Alvear 360, Centro, Av. Marcelo T. de Alvear 360, X5000 Córdoba, Argentina","+54 351 304-3715","http://www.facebook.com/xbarcordoba","4.4"
"ARCHI • CORDOBA","Dr. T. Achaval Rodriguez 244, X5000 Córdoba, Argentina","+54 351 389-7983","https://www.instagram.com/archicoctel/?hl=es-la","4.5"
"LA TERMINAL – Ruin Bar","Av. Vélez Sarsfield 1079, X5000 Córdoba, Argentina","+54 351 388-6626","https://www.instagram.com/_laterminal/","4"
"Temple Córdoba","Belgrano 840, X5000BKE Córdoba, Argentina","+54 9 351 310-4750","https://temple.com.ar/","4.1"
"Antares Nueva Córdoba","San Lorenzo 79, X5000 AZA, Córdoba, Argentina","+54 351 212-4568","https://www.cervezaantares.com/","4.4"
"Fruta Bar Nueva Córdoba","San Lorenzo 288, X5000 AZF, Córdoba, Argentina","+54 351 212-2377","https://www.instagram.com/frutabar.nvacba?igsh=MWg5ZXQzYjVpdmRiag==","4.1"
"Don","Dr. T. Achaval Rodriguez 345, X5000 Córdoba, Argentina","","https://www.instagram.com/donsocialbar?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==","4.7"
"Cerveza Patagonia - Refugio Córdoba","Belgrano 840, X5000 Córdoba, Argentina","","https://www.cervezapatagonia.com.ar/","4.4"
"Bar Chabacano","X5000BOE, Fructuoso Rivera 243, X5000BOE Córdoba, Argentina","+54 351 712-4760","https://www.facebook.com/barchabacano/","4"
"Blacksheep","Av. Hipólito Yrigoyen 325, X5000 Córdoba, Argentina","+54 351 617-4537","https://instagram.com/blacksheep.pub?igshid=1h7ck1453xgbe","4"
"Cachivache Bar®","Av. Marcelo T. de Alvear 837, X5000KGL Córdoba, Argentina","","","4.5"
"Compari","Independencia 488, X5000IUJ Córdoba, Argentina","+54 351 806-3774","http://www.instagram.com/CompariBar","4.3"
"Blas Córdoba","Obispo Salguero 712, X5000 Córdoba, Argentina","+54 3564 65-2521","","4.3"Nombre,Direccion,Telefono,Web,Rating
"Barcelona - Blue 42","Av. Libertador Gral. San Martín 1438, J5400 ASO, San Juan, Argentina","+54 264 581-2630","https://www.instagram.com/barcelonabarsj","4.1"
"Rocknrolla","Av. Libertador Gral. San Martín 2225 Oeste, J5400 San Juan, Argentina","+54 264 548-1411","https://menu.fu.do/rokanrolla/qr-menu","4.2"
"Bar "Leinster Irlandes"","Av. Libertador Gral. San Martín 3747, J5400 Rivadavia, San Juan, Argentina","","https://www.leinsterbar.com.ar/","4.5"
"Bar drinks","J5402DCG, Av. José Ignacio de la Roza Oeste 601-693, J5402DCG San Juan, Argentina","+54 264 524-8741","","4.2"
"TEMPLE San Juan","Juan José Castelli 502 sur, J5400 San Juan, Argentina","+54 264 528-8620","https://temple.com.ar/","4.8"
"Quintana House bar","25 de Mayo 286 este, J5400 San Juan, Argentina","+54 264 405-7119","https://www.instagram.com/quintana.house","4.9"
"Bar de Fábricas","Av. Libertador Gral. San Martín 1342, J5400ASN ASN, San Juan, Argentina","","https://instagram.com/bardefabricas?igshid=178p6mgri5qn2","4.3"
"La Ramada Bar","Mendoza, 9 de Julio Oeste y, J5400, San Juan, Argentina","+54 264 588-5795","","4.2"
"Breaking Beer","J5400ASP, Av. Libertador Gral. San Martín 1530, J5400ASP San Juan, Argentina","","","4.1"
"La Galería Bar","Av. Libertador Gral. San Martín 1356 OESTE, J5400 San Juan, Argentina","+54 264 670-3838","https://instagram.com/lagaleria.barsanjuan","4.2"
"Antares San Juan","Av. Libertador Gral. San Martín 3369, J5400 San Juan, Argentina","+54 264 445-5972","https://www.facebook.com/AntaresSanJuan","4.4"
"Donata del Desierto","Av. Libertador Gral. San Martín 3311, J5407 Rivadavia, San Juan, Argentina","+54 264 530-4639","https://www.instagram.com/donatadeldesierto/","4.5"
"La Kelita Resto & Pub","República del Líbano Oeste 1799, J5400 San Juan, Argentina","+54 264 419-4896","https://www.facebook.com/lakelitaresto","4"
"CIRCO Bar&Grill","FFH5+M9, J5400 San Juan, Argentina","+54 264 426-4392","https://www.facebook.com/circo.bargrill/","4"
"Cuero Santo","Lateral Oeste de Circunvalación 277 Sur, J5400 San Juan, Argentina","+54 264 572-3245","","4.2"
"Rogger's Restó Bar","Av. Libertador Gral. San Martín 2499, J5406 San Juan, Argentina","+54 264 501-5568","https://www.instagram.com/roggers.restosj/?hl=es","4.3"
"Greenhouse Resto Bar","Mendoza Nte. 270, J5400EFF J5400EFF, San Juan, Argentina","","https://menu.fu.do/greenhousesanjuan/qr-menu","4.5"
"Estación San Martín Resto Bar","Av. España Sur 344, J5402DRQ J5402DRQ, San Juan, Argentina","+54 264 419-9997","https://www.facebook.com/estacionsanmartinresto/","4.4"
"De Moño Rojo Grill & Bar","Av. José Ignacio de la Roza Oeste 1946 Oeste, 5400 San Juan, Argentina","+54 264 463-0370","https://delbonopark.delbonohotels.com/gastronomia.html","4.3"
"Pio Baroja","Av. Libertador Gral. San Martín 1525, J5400 San Juan, Argentina","","","3.8"
Nombre,Direccion,Telefono,Web,Rating
"Behind Bar","Costa Rica 4933, C1414 Cdad. Autónoma de Buenos Aires, Argentina","+54 11 3382-4933","https://behindpalermo.com/nueva-landing/","4.7"
"Backroom Bar","Jorge Luis Borges 1975, C1414 Cdad. Autónoma de Buenos Aires, Argentina","","http://www.backroom-bar.com/","4.6"
"BrukBar Buenos Aires","Fray Justo Sta. María de Oro 1801, C1414 Cdad. Autónoma de Buenos Aires, Argentina","","http://www.brukbar.com.ar/","4.6"
"La Choppería de Palermo","El Salvador 4804, C1414 Cdad. Autónoma de Buenos Aires, Argentina","","https://www.instagram.com/chopperiaok","4.3"
"Casa Temple","Costa Rica 4677, C1414BNF Cdad. Autónoma de Buenos Aires, Argentina","+54 11 6739-0110","https://temple.com.ar/","4.4"
"Borneo Palermo Soho","Costa Rica 4522, C1414BSH Cdad. Autónoma de Buenos Aires, Argentina","+54 9 11 2373-1897","https://www.borneobrewingco.com.ar/","4.8"
"Blest Palermo","Gorriti 4857, C1425 Cdad. Autónoma de Buenos Aires, Argentina","+54 9 11 2498-7401","https://cervezablest.com.ar/#!/gastronomia","4.5"
"The Hole Bar - Alcatraz Speakeasy Hidden Bar","Armenia 1743, C1414 Cdad. Autónoma de Buenos Aires, Argentina","+54 11 4832-0143","https://theholeba.meitre.com/","4.3"
"Ferona","Humboldt 1600, C1414CTK Cdad. Autónoma de Buenos Aires, Argentina","+54 11 6722-6784","","4.2"
"La Mala Pub","Arco 3 y 4, Av. del Libertador 3883, C1425 ABL, Cdad. Autónoma de Buenos Aires, Argentina","+54 11 4033-3546","https://www.lamala.com.ar/","4.2"
"Verne Club","Av. Medrano 1475, C1179 Cdad. Autónoma de Buenos Aires, Argentina","+54 11 7638-6823","http://www.vernecocktailclub.com/","4.5"
"Carnal Resto Bar","Cnel. Niceto Vega 5511, C1414 Cdad. Autónoma de Buenos Aires, Argentina","+54 11 6467-7953","https://www.instagram.com/barcarnal/?hl=es","4.2"
"Uptown","Arévalo 2030, C1414CQP Cdad. Autónoma de Buenos Aires, Argentina","","http://www.uptownba.com/","4.2"
"Club Lucero","Nicaragua 6048, C1414BWN Cdad. Autónoma de Buenos Aires, Argentina","+54 9 11 2263-9210","https://linktr.ee/clublucero","4.1"
"Tres Monos","Guatemala 4899, C1425 Cdad. Autónoma de Buenos Aires, Argentina","","http://3monos.com.ar/","4.4"
"Rey de Copas","Gorriti 5176, C1414BJT Cdad. Autónoma de Buenos Aires, Argentina","","https://reydecopasbarcultural.com/","4.5"
"P E U T E O","Gurruchaga 1867, C1414 Cdad. Autónoma de Buenos Aires, Argentina","+54 11 2058-3943","https://www.instagram.com/peuteopalermosoho","4.8"
"Soler Street Bar","Soler 5699, C1425 Cdad. Autónoma de Buenos Aires, Argentina","+54 11 5720-9883","","4.5"
"Victoria Brown Bar","Costa Rica 4827, C1414 Cdad. Autónoma de Buenos Aires, Argentina","+54 9 11 2407-3412","","4.4"
"La Ferneteria (Palermo Soho)","Serrano 1349, C1414 Cdad. Autónoma de Buenos Aires, Argentina","","http://www.laferneteria.com/","3.9"
